pT	OO_PGCM	OO_PGCM_unc	NeNe_PGCM	NeNe_PGCM_unc	OO_NLEFT	OO_NLEFT_unc	NeNe_NLEFT	NeNe_NLEFT_unc	XeXe	XeXe_unc	PbPb	PbPb_unc
108.	0.9983702027733884	0.00831603344180104	0.9930515729803285	0.010018520288857358	0.9979465888667952	0.008429858254666467	0.9956834979422012	0.009374133311592925	0.8410123998847054	0.042054809907912605	0.7790148141118927	0.05086155608997972
109.	0.9983026382889165	0.008262069819194251	0.9930131482141672	0.009954130488919744	0.9978816799077179	0.008375180117082548	0.995628752830119	0.009313599050194687	0.8417779576046629	0.04185182851514252	0.7800510054130422	0.0506458314976147
110.	0.9982277578974036	0.008209780644141351	0.9929658797718613	0.009891694214395563	0.9978093529420711	0.008322197323097469	0.9955657412153175	0.009254918100511711	0.8425099994055261	0.041652173985229524	0.7810485486033227	0.05043252298681866
111.	0.9981455615988497	0.008159165916642341	0.9929097676534109	0.009831211465284817	0.9977296079698547	0.008270909872711063	0.9954944630977968	0.009198090462543829	0.8432085252872951	0.041455846318173506	0.7820074436827343	0.050221630557591546
112.	0.998056049393255	0.00811022563669711	0.9928448118588158	0.009772682241587727	0.9976424449910686	0.008221317765923497	0.9954149184775568	0.009143116136291374	0.8438735352499697	0.04126284551397458	0.782927690651277	0.05001315420993341
113.	0.9979592212806192	0.008062959804305714	0.9927710123880762	0.00971610654330407	0.9975478640057129	0.008173421002734715	0.9953271073545977	0.009089995121753958	0.84450502929355	0.04107317157263268	0.7838092895089508	0.049807093943844194
114.	0.997884349549014	0.008012584188421601	0.9927225358893413	0.009655962049736844	0.9974754477368444	0.008122377283529714	0.995263491052331	0.009033466142162272	0.8452045707104917	0.04088075831515531	0.7847639896260306	0.04960126600751863
115.	0.9978379846582612	0.007958028188988442	0.9927070280668149	0.009591012993467818	0.9974318161124415	0.008067103013852217	0.995231333662797	0.008972351845680737	0.8459948870123923	0.04068424827123929	0.7858167979223153	0.049395181727900916
116.	0.9977892282596876	0.00790434179863625	0.9926884243325511	0.00952708845727901	0.9973857431043415	0.008012709480579527	0.9951963706527029	0.008912205770307269	0.8467687731179452	0.04049004459301159	0.7868497574072756	0.049191146163090116
117.	0.9977380803532929	0.007851525017364636	0.99266672468655	0.009464188441170529	0.9973372287125443	0.007959196683711756	0.9951586020220489	0.008853027916041922	0.8475262290271501	0.04029814728047215	0.7878628680809115	0.04898915931308617
118.	0.9976845409390772	0.007799577845173933	0.9926419291288114	0.009402312945142488	0.9972862729370497	0.00790656462324868	0.9951180277708347	0.008794818282884753	0.8482672547400072	0.04010855633362115	0.7888561299432232	0.04878922117788914
119.	0.9976286100170404	0.007748500282063975	0.9926140376593356	0.00934146196919472	0.9972328757778581	0.00785481329919041	0.9950746478990604	0.008737576870835762	0.8489918502565165	0.03992127175245841	0.7898295429942105	0.04859133175749902
120.	0.9975702875871827	0.0076982923280348725	0.9925830502781224	0.009281635513327224	0.9971770372349693	0.007803942711537004	0.995028462406726	0.008681303679894836	0.849700015576678	0.03973629353698399	0.7907831072338735	0.04839549105191582
121.	0.9975095736495039	0.0076489539830865705	0.9925489669851718	0.009222833577539946	0.9971187573083833	0.00775395286028846	0.9949794712938317	0.008625998710062033	0.8503917507004916	0.03955362168719789	0.7917168226622121	0.04820169906113947
